Product_id,Selling_Price
SCHE4YSTDVPVZVXW,3376.7344136410857
ACCEGCATKHNRXUHW,1941.1947413219013
NKCE6GJ5XVJDXNNZ,10297.798713679735
NKCEB8BK3ZXDHDHM,9133.363826751642
TOPEFDXSAHRNPF94,5463.176020984265
ACCE558KZHEPZYMG,9228.797804175556
ACCEAZCVAMFHDPY7,4945.634517117261
NKCDYNY37JPBGBVM,2648.587213327287
NKCEY8KWY33FCUYD,6906.619159452042
RNGE4YPTQYRECV9J,4598.424376619016
NKCE88AHBHJZREXH,3818.474928465146
CLTEJ5ZZGBP4JGGE,8571.046222848596
WATE3NWH5FZWAMDA,7277.2882059679205
CAGE53FSFZVFPFHQ,1579.121174446161
PCSEAKVBFFPGCHNZ,3493.015910461312
WATDFFH3KJYBTYGG,6528.911004696334
NKCDWHFQSCHHYZMP,2524.1787831729685
RNGEB2PG3Q5RKDW6,3501.8426119271057
NKCE5UY9HHPZGGUZ,4103.239747373686
KTAEHETW3ZCMFMJR,4154.404927325164
BRAEBBYRVF9MHJHU,7746.603272014393
NKCEAX7HAQ2RJA3Q,9986.63601726766
CRTECN2RQZWBSP9W,4932.629065393134
WATDEWZ9UHSEHGZG,9149.483257486378
PTPEYW8HNV6G9YYR,2911.06812705416
ACCEAMGZRRYVAHDC,4335.73179951183
SRTEHHXG8MUXTGPA,5733.614862940004
SKIE4S4NN4MHYM3Z,4989.142484830637
HMBE7G34YHWPWKYN,7156.757629414695
LLIEGTMFJBD7ZZZM,12218.06065718556
ACCEJGH6JVTM4CBH,2180.1571772914444
ACCDQDYBXJ9HZF37,9958.222360966154
RNGE88FRGZCXNKUG,1493.4283494225717
NKCE7M3QNNPZDXHQ,10057.51113277439
VLBEGFFDP9H6WG2T,3556.879579033758
TOPEAFG4YEQSH5TT,2473.5466237357846
WATEYAP3K2QQQWDH,4844.971543633517
PCSEBDFUFJWGARNX,10505.701837349963
SWTEGXQFZY95SKG7,4528.239354857841
BRAEGJFXSM9ZQ6SK,5504.541718817216
CAGE6FYKP34GA4GF,6550.7846029913635
HMBEJCMH78VJF3M8,4265.648569383051
HIFEB7J3GSTVN5XJ,10511.316799143351
PBXE6ZHNGZREWWHR,4665.86557785145
PCSEAKVBNXFGZBKB,6190.287986780724
BRAEBBMQQNZ9RZWR,5234.468248442989
ACCEGKFCXHZZH44S,1636.3074925336587
SHODXQRRGKZ74U9M,4339.574816271083
DREE2Y6DVEKVVQQS,4336.702791918151
PBXE8ZHHG5Y525BT,6808.579568840676
CTTEH9FXZHGFKUA3,7575.742267125937
ACCDXFZXGQTBTM6N,3617.913427616631
NKCE9PFF3TT4KSQJ,7699.890363080314
BRAE6NZAZK77HXZK,1008.4799947517791
NKCE4TV42BHDP63U,3495.0474352048464
AIREDGGD9RJPZGYW,5576.204569788009
PCSEDAPMHR2HNHWP,8029.87948305112
PACE95FMAFXHZB5C,4511.360741862642
WATDG4KP445AV5XC,12401.15336804917
ACCE9EYRRNZYZUBG,926.6594237448907
ACCE8XZMAHNC8JVS,1477.402970953663
SHOED5DCSTQKZCGF,3695.0446749328357
NKCE64Z4NGBHNAY7,3590.0285665810175
PBXE8WQTZ5GA2YYQ,1178.0452091181
MUGEGZUMGYAPVSZH,4441.113953683235
PBXE4RB3Y3GXWPFV,1493.0585517270733
PCSE2ZFDJJGFNHC7,1025.990655624853
CRTECN2QT5HKHZ8F,4864.018763563465
MUGEACY8Q7ZYSTN8,1657.5117297956997
ACCEGG9VGRMQGHRD,6431.578683907686
PCSE76X48PVSDDVK,1170.0108837009318
PBXE6677X2D6UFZZ,5519.01405411401
WCKEGGGD2TXHHTJC,284.4367165465743
NKCE7MMGF4PPGNA6,2699.030572306401
CRTECN2QYTPHK5YQ,4990.07593772769
OIDEJFCWMMR6JQBE,5412.505513673723
WATE5HFY4MJX6CHD,4567.995853166582
DREE4FC4TAR8M5GN,4163.934814938869
HACEGPF9DZVUZBFY,7776.437735879048
PBXE4Q7YF5KUYJYW,11143.92468100635
SHIED9YEH65NSA8N,9762.095450812418
WATDHMQJ68MVBRFV,12215.79119511794
HMBEGWTFEV4TF2RH,3082.3378570047985
SHIE2FH7YTVDHFGT,3256.012550324851
CRTECN2QYRY2KWZF,3977.3695997089535
TSHEDJXPN4HNT2UP,5850.604004149527
SHOECZH5WGBZHZES,2706.13757475058
NKCEDCT9MSAYG6H5,5134.31894087656
SOCEGGVYBTZPKXVP,4578.379507433759
PBXECARAQBCDSAZW,2927.721506676135
CAGDU85YDHP9ZJH7,2395.3855982744735
TCVEHSMFEGNCAGYN,4750.843473220341
RNGEDAPFZ2GKRUER,1559.2889633933196
CAGDY9Q7HSNDHGFC,3611.0900699811214
